RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1,15634602,Hargrave,619,France,Female,42,10,0.0,1,1,0,1313.35,1,1,1,DIAMOND,937.856785398239
2,15647311,Hill,608,Spain,Female,41,5,83807.86,1,0,1,2633.81,0,1,4,DIAMOND,688.7143929938514
3,15619304,Onio,502,France,Female,42,2,159660.8,3,1,0,984.89,1,1,1,DIAMOND,668.5288599622435
4,15701354,Boni,699,France,Female,39,9,0.0,2,0,0,2219.58,0,0,5,GOLD,944.9748530899157
5,15737888,Mitchell,850,Spain,Female,43,4,125510.82,1,1,1,1554.51,0,1,3,GOLD,108.19225044617428
6,15574012,Chu,645,Spain,Male,44,9,113755.78,2,1,1,1919.31,0,0,3,DIAMOND,552.9845930980217
7,15592531,Bartlett,822,France,Male,50,9,0.0,2,1,1,2465.84,0,0,3,SILVER,259.17700058681925
8,15656148,Obinna,376,Germany,Female,29,10,115046.74,4,1,1,2180.45,0,0,2,DIAMOND,286.69250527875573
9,15792365,He,501,France,Male,44,8,142051.07,2,0,0,3341.46,0,0,3,GOLD,458.74755904126346
10,15592389,H?,684,France,Male,27,10,134603.88,1,1,1,3960.35,0,0,5,GOLD,661.6672435309492
11,15767821,Bearce,528,France,Male,31,4,102016.72,2,0,1,239.91,0,0,3,GOLD,748.3851243486503
12,15737173,Andrews,497,Spain,Male,24,4,0.0,2,1,1,2749.92,0,0,5,GOLD,763.6780117199646
13,15632264,Kay,476,France,Female,34,7,0.0,2,1,0,1759.61,0,0,3,SILVER,894.0359049170797
14,15691483,Chin,549,France,Female,25,1,0.0,2,0,1,977.51,0,1,3,PLATINUM,348.3519796284772
15,15600882,Scott,635,Spain,Female,35,5,0.0,2,1,1,820.06,0,0,5,GOLD,544.0198722701768
16,15643966,Goforth,616,Germany,Male,45,7,143129.41,2,0,0,2764.88,0,0,3,GOLD,737.5693640734094
17,15737452,Romeo,653,Germany,Male,58,1,0.0,1,1,0,3280.53,1,0,1,SILVER,723.7085998523644
18,15788218,Henderson,549,Spain,Female,24,10,0.0,2,1,0,754.26,0,0,5,SILVER,522.6047241152289
19,15661507,Muldrow,587,Spain,Male,45,10,0.0,1,0,1,2516.75,0,1,3,PLATINUM,262.467005421689
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,0,1467.45,0,0,5,GOLD,939.6820024885716
21,15577657,McDonald,732,France,Male,41,0,0.0,2,1,0,1551.75,0,0,3,PLATINUM,828.8600048541538
